Supplementary Data 1. Gene expression in each cluster within cells expressing CD8A,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
S1PR5,4.420747784497e-13,0.381847397,0.444,0.328,7.4272983527334e-09,3
COX8A,4.79873403257939e-13,0.317275029,0.585,0.501,8.06235304813664e-09,3
CD3G,9.78234161778235e-13,0.331170265,0.858,0.768,1.64353121520361e-08,3
CHST12,3.49741060154098e-12,0.345476177,0.424,0.329,5.875999551649e-08,3
LITAF1,2.53013003589409e-11,0.338755099,0.827,0.741,4.25087147330567e-07,3
PLAC8,3.29553801376311e-11,0.387445006,0.349,0.258,5.53683341692339e-07,3
F2R,9.10930230256481e-11,0.355517936,0.303,0.213,1.53045387985391e-06,3
GNPTAB,2.64616581387678e-10,0.375832317,0.353,0.238,4.44582318389437e-06,3
CYBA1,3.8906537282919e-10,0.253144674,0.966,0.931,6.53668732890322e-06,3
UCP2,7.89793466519119e-10,0.323759779,0.602,0.526,1.32693200309877e-05,3
VAMP8,1.04676244715132e-09,0.272600696,0.482,0.407,1.75866558745893e-05,3
TFDP2,1.25286686213308e-09,0.305537108,0.291,0.213,2.10494161506978e-05,3
DBI1,2.41647221234492e-09,0.300002751,0.565,0.478,4.05991496396071e-05,3
KLRC41,3.28550781829853e-09,0.367969375,0.439,0.329,5.51998168552336e-05,3
DNAJB6,3.54740642085816e-09,0.267325296,0.336,0.278,5.95999752768379e-05,3
ANAPC11,4.20482131648304e-09,0.255583006,0.369,0.303,7.06452029382315e-05,3
CD320,7.06870939938408e-09,0.252854547,0.337,0.282,0.000118761,3
CEBPB,1.06664740853078e-08,0.272051421,0.272,0.207,0.000179207,3
RAP1B,1.53198146593073e-08,0.326221882,0.768,0.676,0.000257388,3
LINC01871,1.89182053300482e-08,0.251748875,0.27,0.201,0.000317845,3
OSTF1,2.42686239173223e-08,0.290935801,0.493,0.409,0.000407737,3
PTGDR1,3.29079180115152e-08,0.308863964,0.349,0.264,0.000552886,3
CTSW1,4.42108139792948e-08,0.250272459,0.959,0.913,0.000742786,3
LGALS11,8.1645414448746e-08,0.364892343,0.654,0.523,0.001371725,3
TBX211,3.11230356420115e-07,0.287402492,0.487,0.415,0.005228981,3
SELL,3.84448061572444e-07,0.273013179,0.401,0.323,0.006459112,3
ADRB2,6.26701870298426e-07,0.262987936,0.342,0.28,0.010529218,3
ABHD17A,7.2329998985505e-07,0.25303417,0.752,0.683,0.012152163,3
KLRD1,2.83497977640544e-06,0.28745267,0.718,0.638,0.047630495,3
IL7R,8.85466098401168e-212,1.651001979,0.883,0.354,1.4876715919238e-207,4
TXNIP,9.94563550433719e-34,0.451912089,0.956,0.862,1.67096622108369e-29,4
CMC1,4.02189783036721e-27,0.709234687,0.406,0.212,6.75719054479995e-23,4
ZFP36L2,2.43432734245444e-22,0.350404985,0.885,0.75,4.0899133680577e-18,4
AUTS2,5.0977742273769e-22,0.417223705,0.257,0.12,8.56477047941594e-18,4
PBXIP1,6.68311643823419e-20,0.461230525,0.423,0.256,1.12283039278773e-15,4
ITGA4,1.26773514293518e-19,0.3940247,0.648,0.486,2.1299218136454e-15,4
PIK3R1,3.32010462089032e-19,0.463753404,0.512,0.339,5.57810777355783e-15,4
CLDND1,1.20401913558224e-18,0.397259694,0.345,0.2,2.02287254969172e-14,4
CD7,7.92324018088597e-18,0.394405648,0.594,0.409,1.33118358279065e-13,4
MYBL1,1.05737124110544e-15,0.369742551,0.591,0.443,1.77648942218125e-11,4
MT-ND2,1.1714043710123e-15,0.341089013,0.943,0.859,1.96807648373777e-11,4
N4BP2L2,2.28780969516349e-14,0.278397984,0.551,0.416,3.84374906884418e-10,4
P2RY8,2.03879043642957e-13,0.258961866,0.459,0.339,3.42537181224532e-09,4
LYAR,1.33103974803411e-12,0.314784266,0.49,0.357,2.23627988067211e-08,4
GPR65,3.07245731646583e-12,0.294533411,0.322,0.211,5.16203553739424e-08,4
DUSP2,1.59634572527663e-11,0.278242642,0.595,0.453,2.68202045303727e-07,4
ISG20,3.99855554442574e-11,0.269921373,0.446,0.325,6.71797317018969e-07,4
SELL1,2.58272302370815e-09,0.281943707,0.431,0.322,4.33923295213207e-05,4
TAGLN2,4.70724498513152e-09,0.253055725,0.845,0.755,7.90864229951947e-05,4
CAMK4,1.86572166150819e-08,0.282286157,0.265,0.167,0.00031346,4
AHNAK,2.58292300620635e-75,1.037057885,0.867,0.774,4.33956894272728e-71,5
RPL13A,6.00722896562786e-73,0.868443855,0.943,0.896,1.00927453851514e-68,5
MALAT1,2.08797376944278e-61,0.782110314,1,0.999,3.50800473004081e-57,5
FLNA,3.79295660486865e-57,0.90267089,0.877,0.763,6.37254639183982e-53,5
RNF213,1.1252025232806e-52,0.974961143,0.782,0.639,1.89045275936373e-48,5
ITGAL,7.74878826676326e-48,0.937958658,0.587,0.431,1.3018739166989e-43,5
MYH9,1.37368119091193e-45,0.770453061,0.712,0.652,2.30792176885113e-41,5
SYNE1,5.4822696416042e-43,0.904456949,0.628,0.504,9.21076122485921e-39,5
MACF1,1.05664681303563e-41,0.965264383,0.558,0.414,1.77527231058117e-37,5
SRRM2,5.5659420946582e-37,0.697074027,0.677,0.62,9.35133931323524e-33,5
MYO1F,2.2543317502162e-34,0.768836277,0.46,0.372,3.78750277353823e-30,5
RPS17,1.07954554399701e-32,0.471167915,0.532,0.546,1.81374446846938e-28,5
SYNE2,2.55962363523498e-32,0.799041324,0.687,0.583,4.30042366955829e-28,5
IKZF3,1.55298153341897e-29,0.684118178,0.42,0.345,2.60916427429722e-25,5
MTRNR2L12,2.30603166034863e-29,0.903276836,0.968,0.962,3.87436379255173e-25,5
STK10,7.07824203719962e-29,0.663886919,0.458,0.388,1.18921544466991e-24,5
RUNX3,1.66707943609775e-27,0.750917592,0.43,0.312,2.80086016058784e-23,5
PRPF4B,4.08986908257933e-27,0.501976438,0.403,0.382,6.87138904564153e-23,5
PRRC2C,9.51158054211383e-27,0.504019061,0.488,0.492,1.59804064688054e-22,5
AKNA,1.14688908840867e-26,0.731118277,0.518,0.39,1.9268883574354e-22,5
TGFBR3,1.42343099571136e-26,0.629312494,0.497,0.426,2.39150641589465e-22,5
CHD3,1.73570761309162e-26,0.753543298,0.355,0.241,2.91616236075523e-22,5
RPS11,6.01564335439486e-26,0.369867733,0.822,0.849,1.01068823997188e-21,5
NEAT1,6.51170773109376e-26,0.88436512,0.452,0.367,1.09403201590106e-21,5
GLG1,5.83911394445128e-25,0.628801917,0.365,0.309,9.8102953380726e-21,5
NBEAL2,1.75187328627182e-24,0.701821695,0.258,0.156,2.94332230826528e-20,5
WNK1,3.96925673505921e-24,0.646944995,0.31,0.244,6.66874824057298e-20,5
TGOLN2,5.33681099023188e-22,0.507247574,0.358,0.343,8.96637614468859e-18,5
DDX17,5.34619143042856e-22,0.598796024,0.475,0.434,8.98213622226302e-18,5
NLRC5,5.54952787067126e-22,0.718473654,0.312,0.212,9.32376177551479e-18,5
TLN1,7.11311090386318e-22,0.503741882,0.545,0.543,1.19507376295805e-17,5
DYNC1H1,7.75134136749986e-22,0.603691413,0.39,0.309,1.30230286315365e-17,5
SMG1,1.43167208187903e-20,0.594662032,0.31,0.235,2.40535226476495e-16,5
N4BP2L21,2.16091694406505e-19,0.352231614,0.4,0.427,3.63055655772369e-15,5
CDV3,5.4174818017066e-19,0.402784151,0.322,0.33,9.10191117504725e-15,5
NFATC2,5.80050326855247e-19,0.529867812,0.363,0.311,9.74542554149501e-15,5
DIP2A,6.67092599895879e-19,0.625374044,0.422,0.348,1.12078227708507e-14,5
AAK1,7.25755731449123e-19,0.451601073,0.38,0.344,1.21934220440767e-14,5
ZBTB7A,1.13748588364651e-18,0.446857589,0.338,0.333,1.9110900331145e-14,5
RPS20,1.16687532312345e-18,0.424452054,0.472,0.458,1.96046723037971e-14,5
ARHGAP4,1.35225663071448e-18,0.422664938,0.312,0.318,2.27192636526339e-14,5
LENG8,1.68034711074301e-18,0.629616844,0.297,0.22,2.82315118075934e-14,5
AKAP13,1.94569840399481e-18,0.540630609,0.428,0.395,3.26896788855169e-14,5
CELF2,2.07148207121708e-18,0.451665547,0.373,0.37,3.48029702785182e-14,5
IKZF1,2.34635555975993e-18,0.475172719,0.498,0.47,3.94211197595265e-14,5
MYO9B,2.54539644160039e-18,0.601614467,0.262,0.191,4.27652056153281e-14,5
SNRNP200,4.59713105264412e-18,0.552126216,0.293,0.218,7.72363988154739e-14,5
ROCK1,5.55823368451299e-18,0.475856864,0.295,0.265,9.33838841335027e-14,5
BCL9L,1.00241554566998e-17,0.741347276,0.272,0.171,1.68415835828014e-13,5
INPP5D,1.04198543610334e-17,0.483913195,0.255,0.215,1.75063973119722e-13,5
ATRX,1.54274338625156e-17,0.448822417,0.38,0.372,2.59196316324125e-13,5
PREX1,1.74180321497651e-17,0.454538844,0.357,0.319,2.92640358148204e-13,5
ARHGAP45,1.74496958372711e-17,0.433302013,0.4,0.378,2.93172339761992e-13,5
SON,2.59179782011589e-17,0.469044654,0.683,0.685,4.3544795175767e-13,5
FMNL1,2.80023227691746e-17,0.401498226,0.433,0.439,4.70467024844903e-13,5
SLFN5,3.61587988858641e-17,0.389138863,0.33,0.311,6.07503980081402e-13,5
BRD4,4.37704571882412e-17,0.352290788,0.27,0.274,7.3538745121964e-13,5
KMT2C,6.78787969050798e-17,0.665442428,0.267,0.192,1.14043166680225e-12,5
UTRN,7.99182515168744e-17,0.516308756,0.395,0.338,1.34270654373501e-12,5
RPL23,9.75305931994531e-17,0.291822129,0.61,0.659,1.63861149634401e-12,5
OGA,1.03971183054364e-16,0.4965942,0.315,0.282,1.74681984649636e-12,5
NOP53,1.07475904748181e-16,0.295045095,0.643,0.68,1.80570267567419e-12,5
HP1BP3,1.11132660555199e-16,0.345749271,0.437,0.462,1.86713982998789e-12,5
SORL1,2.91232776273147e-16,0.529277401,0.325,0.241,4.89300187416515e-12,5
RAPGEF1,4.61999199913869e-16,0.508588352,0.263,0.202,7.76204855775292e-12,5
SPOCK2,5.69858273653393e-16,0.379436784,0.488,0.511,9.57418885565066e-12,5
NIPBL,6.53443216588634e-16,0.433614402,0.308,0.271,1.09784994819056e-11,5
ANKRD11,7.0884810209995e-16,0.508954846,0.372,0.34,1.19093569633813e-11,5
SMARCA2,7.65736251439601e-16,0.439298206,0.285,0.255,1.28651347604367e-11,5
ATP2A3,7.74005300580358e-16,0.419438714,0.27,0.27,1.30040630550506e-11,5
RIPOR2,1.01295441944058e-15,0.389247557,0.487,0.474,1.70186472010212e-11,5
ZEB22,1.18090897637161e-15,0.582765157,0.607,0.532,1.98404517120194e-11,5
DIAPH1,1.42910240729945e-15,0.441325849,0.407,0.37,2.40103495450381e-11,5
MLLT6,1.66816350726157e-15,0.564130562,0.312,0.235,2.80268150855016e-11,5
REST,1.72974005089835e-15,0.305656399,0.277,0.287,2.90613625951431e-11,5
TMC8,2.07032367766811e-15,0.324638597,0.267,0.29,3.47835081085019e-11,5
ACTN4,2.28486847226509e-15,0.41665682,0.383,0.375,3.83880752025258e-11,5
CYTH1,2.41136218413396e-15,0.451490285,0.483,0.464,4.05132960556346e-11,5
FUS,2.49013884761541e-15,0.413950188,0.543,0.552,4.18368227787866e-11,5
TNRC6B,2.59119036158318e-15,0.468996052,0.282,0.239,4.3534589264959e-11,5
ARHGAP30,2.82811928352946e-15,0.410069769,0.46,0.455,4.75152320825785e-11,5
ZAP70,2.87576875813987e-15,0.478633977,0.572,0.541,4.8315790905508e-11,5
CCDC88C,3.51786595752487e-15,0.450197916,0.437,0.403,5.91036659523754e-11,5
ATM,3.89359405517545e-15,0.403082166,0.31,0.281,6.54162737210027e-11,5
ATP2B4,4.87377932494428e-15,0.564087878,0.392,0.312,8.18843664383888e-11,5
ARGLU1,5.00030791366969e-15,0.339633185,0.497,0.526,8.40101732575644e-11,5
GOLGA4,5.58354279725943e-15,0.555945838,0.345,0.285,9.38091025367556e-11,5
TNFRSF1B,5.61394589984747e-15,0.300128938,0.36,0.391,9.43199050633373e-11,5
