Supplementary Data 2B. Differential gene expression in CD8A+ T cells at pre-treatment vs 8 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
BTG2,6.43927448067203e-07,-0.286839524,0.24,0.347,0.010818625
GSTP1,6.53020724320015e-07,0.090226504,0.634,0.674,0.010971401
TAF15,6.61312758037733e-07,0.112322263,0.292,0.315,0.011110716
RALY,6.72030484033176e-07,0.113160083,0.438,0.471,0.011290784
TMBIM6,6.74336788122394e-07,0.020208466,0.645,0.727,0.011329532
METTL17,6.77114041199528e-07,-0.026447972,0.141,0.196,0.011376193
CASK,7.21282908042073e-07,-0.147503419,0.052,0.103,0.012118274
VAMP5,7.29889071417364e-07,0.037138615,0.25,0.297,0.012262866
SRSF9,7.79492693235947e-07,-0.10041864,0.445,0.554,0.013096257
RPL3,7.84184374447681e-07,-0.063760227,0.984,0.997,0.013175082
EIF4E,7.87948095613941e-07,-0.019104942,0.085,0.129,0.013238316
ARGLU1,7.9954636642786e-07,0.054086205,0.581,0.655,0.013433179
CSRNP1,8.00513231769666e-07,-0.207812046,0.076,0.14,0.013449423
TC2N,8.13074264714142e-07,-0.097303042,0.253,0.335,0.013660461
STUB1,8.15766889700834e-07,0.0804638,0.381,0.426,0.0137057
ARHGDIA,8.23223348225712e-07,0.0433482,0.522,0.588,0.013830975
HLA-DPA1,8.37914802432708e-07,0.084786957,0.557,0.589,0.014077807
SNRPE,8.72701921471524e-07,-0.089158087,0.143,0.211,0.014662265
FUS,9.20069594030024e-07,0.140233936,0.556,0.579,0.015458089
U2SURP,9.34816046586833e-07,0.035097867,0.302,0.362,0.015705844
COPE,9.38461578238756e-07,-0.171571291,0.424,0.543,0.015767093
IDH2,9.44920227728281e-07,0.142055635,0.372,0.381,0.015875605
CUTA,9.55919707097485e-07,-0.001306519,0.453,0.525,0.016060407
RPL8,9.59086285715823e-07,-0.06257703,0.973,0.995,0.016113609
ZNF83,9.65321692974677e-07,-0.008476073,0.087,0.119,0.01621837
GOLGA7,9.93056172456296e-07,-0.179591389,0.244,0.347,0.016684337
LMNA,9.93242836006351e-07,-0.130068131,0.016,0.05,0.016687473
FCMR,9.96472245458309e-07,-0.18944769,0.299,0.405,0.01674173
NSMCE1,1.01461933426765e-06,-0.140323129,0.129,0.2,0.017046619
TMEM219,1.0418354204697e-06,-0.002657484,0.298,0.36,0.017503877
CASP8,1.05398698562567e-06,0.18779027,0.394,0.407,0.017708035
UBE2D3,1.06144366107223e-06,-0.030805586,0.486,0.574,0.017833315
RIPOR2,1.07386369477334e-06,-0.107092495,0.498,0.601,0.018041984
MRPS7,1.08521631360822e-06,-0.133069719,0.157,0.231,0.018232719
GZMK,1.09391155770742e-06,-0.301007409,0.161,0.224,0.018378808
PPP1CA,1.10348231644352e-06,0.031935017,0.666,0.73,0.018539606
PTPN4,1.12166301831573e-06,0.083898998,0.338,0.38,0.01884506
DNAJB14,1.12745946476812e-06,0.153833895,0.227,0.232,0.018942446
NSG1,1.1326604929969e-06,-0.199346485,0.067,0.128,0.019029829
GIT2,1.14988034658819e-06,0.017591535,0.168,0.211,0.01931914
