Supplementary Data 7. Differential gene expression between clone #1 and clone #2 in Table 1,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Diff
RPL7L1,0.299790508,0.083993496,0.17,0.141,1,-0.029
ADA,0.299919134,0.20222741,0.129,0.106,1,-0.023
FBXW7,0.300021295,0.095069415,0.144,0.118,1,-0.026
DYNLL2,0.300213196,0.17858434,0.189,0.159,1,-0.03
AZI2,0.300452525,0.068978264,0.114,0.091,1,-0.023
NCOR1,0.30060014,-0.190674743,0.341,0.36,1,0.019
C1orf52,0.300941692,-0.424418753,0.152,0.167,1,0.015
TMEM109,0.301352404,-0.265993042,0.314,0.317,1,0.003
RBCK1,0.301692907,-0.256775089,0.292,0.3,1,0.008
TIPRL,0.302454986,-0.343977494,0.125,0.146,1,0.021
FBXO44,0.303109524,-0.484000201,0.114,0.132,1,0.018
CREBBP,0.303258681,-0.506753868,0.102,0.12,1,0.018
ELK4,0.303373812,0.260084256,0.121,0.099,1,-0.022
WAPL,0.304130147,0.110304698,0.22,0.185,1,-0.035
SNX20,0.30437438,-0.502610619,0.11,0.127,1,0.017
AGA,0.304468231,0.166058958,0.114,0.092,1,-0.022
SYNCRIP,0.304543042,0.168746677,0.201,0.168,1,-0.033
ARRB2,0.305253663,-0.194112197,0.534,0.51,1,-0.024
POLR2K,0.305629556,0.013686084,0.205,0.171,1,-0.034
UBE2L6,0.305914153,-0.156125704,0.379,0.387,1,0.008
TIMM17A,0.305927995,0.067016323,0.102,0.081,1,-0.021
ARF6,0.306041473,-0.173833476,0.481,0.483,1,0.002
XIAP,0.306697935,-0.646521441,0.083,0.1,1,0.017
SMAD2,0.306759351,0.025213627,0.189,0.156,1,-0.033
IPCEF1,0.30719794,0.087394281,0.11,0.087,1,-0.023
AC010642.2,0.307256103,-0.438962016,0.11,0.129,1,0.019
ATG5,0.307338992,0.114539773,0.186,0.153,1,-0.033
GPSM3,0.307631332,-0.105887079,0.795,0.739,1,-0.056
SF3B3,0.307722086,0.020362467,0.155,0.128,1,-0.027
CD48,0.30772838,0.075566202,0.735,0.647,1,-0.088
PNP,0.308236967,-0.516717104,0.102,0.119,1,0.017
ELOC,0.308288473,0.150588496,0.239,0.205,1,-0.034
GTF2A2,0.308665178,-0.007502099,0.303,0.252,1,-0.051
DDX6,0.308820959,0.026163017,0.489,0.414,1,-0.075
MINDY2,0.309281675,-0.220264972,0.114,0.136,1,0.022
TMED10,0.310133105,0.084310476,0.436,0.385,1,-0.051
RESF1,0.310441545,-0.112950883,0.557,0.549,1,-0.008
MZT1,0.311026504,-0.02214114,0.129,0.103,1,-0.026
CNDP2,0.311205326,0.095390319,0.155,0.128,1,-0.027
FTH1,0.311918404,0.053556004,0.966,0.977,1,0.011
AC007952.4,0.31225927,0.154973107,0.182,0.152,1,-0.03
DNAJC2,0.31231521,-0.535472612,0.106,0.123,1,0.017
NIPSNAP2,0.31249961,0.273104308,0.106,0.086,1,-0.02
CORO1A,0.312523182,-0.108224259,0.894,0.867,1,-0.027
PSME2,0.313297199,0.070981271,0.633,0.566,1,-0.067
PPP1R12A,0.313345829,-0.205108407,0.352,0.355,1,0.003
TXNL1,0.313494836,-0.478047158,0.17,0.182,1,0.012
AC004687.1,0.313632102,0.013939386,0.254,0.214,1,-0.04
UBR4,0.313676669,-0.292039123,0.114,0.135,1,0.021
MOB3A,0.31374209,0.025776296,0.17,0.141,1,-0.029
LMF2,0.31405772,0.044904414,0.223,0.187,1,-0.036
RRBP1,0.314206474,-0.471928026,0.098,0.116,1,0.018
EEF1E1,0.314541712,0.133016612,0.114,0.092,1,-0.022
C21orf91,0.315330937,0.051016074,0.11,0.087,1,-0.023
SCNM1,0.315688224,0.160051181,0.167,0.14,1,-0.027
NCL,0.316119187,-0.101444845,0.72,0.695,1,-0.025
SYTL1,0.316155997,0.053197196,0.515,0.457,1,-0.058
DGKZ,0.316194961,-0.175913954,0.439,0.427,1,-0.012
CDK5RAP2,0.316276618,0.034528329,0.102,0.081,1,-0.021
ACBD5,0.316470981,-0.504538,0.095,0.113,1,0.018
USP22,0.317127988,-0.333747834,0.117,0.135,1,0.018
FNDC3B,0.317147479,-0.056883795,0.114,0.09,1,-0.024
KRR1,0.317441043,-0.346369763,0.163,0.182,1,0.019
SNRPE,0.317494242,0.098560935,0.189,0.159,1,-0.03
COX17,0.317830822,0.198906476,0.246,0.21,1,-0.036
NUDT4,0.317991024,-0.329728773,0.098,0.116,1,0.018
KLF9,0.318190428,0.175360064,0.182,0.154,1,-0.028
BTBD1,0.318706498,-0.558301692,0.102,0.118,1,0.016
AC087239.1,0.319379859,0.362199972,0.11,0.089,1,-0.021
HK1,0.319576972,-0.572318474,0.095,0.111,1,0.016
SLC38A10,0.319761218,0.085302943,0.178,0.149,1,-0.029
GRAP2,0.319800679,0.053244179,0.273,0.236,1,-0.037
POLR2D,0.320049902,0.216862918,0.11,0.089,1,-0.021
MAP2K3,0.32005621,-0.259950038,0.163,0.184,1,0.021
RBBP4,0.32006552,-0.164081766,0.295,0.315,1,0.02
CHIC2,0.320554481,0.028571147,0.284,0.241,1,-0.043
GDI1,0.320761516,0.070307143,0.246,0.212,1,-0.034
EIF3A,0.320893309,0.058996565,0.375,0.322,1,-0.053
DGLUCY,0.32136813,0.083909794,0.148,0.123,1,-0.025
MAP3K4,0.321438475,0.192518896,0.11,0.089,1,-0.021
LIX1L,0.321444075,-0.439954576,0.14,0.157,1,0.017
RAB14,0.321468884,-0.303410867,0.265,0.278,1,0.013
XPC,0.321816082,0.175007976,0.121,0.099,1,-0.022
NDUFA9,0.322000287,-0.437443639,0.144,0.16,1,0.016
G6PD,0.322106733,-0.299449333,0.22,0.237,1,0.017
SOCS1,0.322804689,0.16499657,0.125,0.102,1,-0.023
CDKN2D,0.322989243,-0.250917462,0.322,0.323,1,0.001
CLK3,0.323067572,0.081304528,0.174,0.146,1,-0.028
ATG13,0.323077404,0.02408071,0.121,0.097,1,-0.024
RNF126,0.32326044,-0.187024706,0.307,0.318,1,0.011
KTN1,0.323476512,0.02851208,0.413,0.35,1,-0.063
SNRPB,0.324245239,-0.202333036,0.428,0.426,1,-0.002
REL,0.324363487,0.03826709,0.295,0.252,1,-0.043
ADRM1,0.32444029,-0.295805897,0.277,0.289,1,0.012
XRCC5,0.324718525,-0.110331296,0.371,0.377,1,0.006
FAM136A,0.324793684,-0.491052364,0.091,0.109,1,0.018
MDFIC,0.324869413,0.035220869,0.25,0.212,1,-0.038
DUT,0.325427127,0.09560256,0.288,0.247,1,-0.041
MBNL2,0.325440638,0.147517949,0.159,0.133,1,-0.026
IRF3,0.325581553,0.07569768,0.223,0.192,1,-0.031
CTR9,0.325931959,-0.43960433,0.152,0.168,1,0.016
PCBP1-AS1,0.326171648,-0.011495905,0.144,0.118,1,-0.026
PSMD14,0.326393945,-0.496249236,0.091,0.108,1,0.017
KDM2A,0.326475215,-0.27757805,0.197,0.217,1,0.02
RPS26,0.326484419,0.019669951,1,0.999,1,-0.001
PDCD5,0.327376486,-0.035629312,0.254,0.21,1,-0.044
SH2D2A,0.32752522,-0.201437444,0.405,0.404,1,-0.001
RAC1,0.327602525,-0.18007391,0.409,0.413,1,0.004
SDR39U1,0.32780375,0.123754625,0.242,0.209,1,-0.033
PCYT1A,0.327845982,-0.68174494,0.087,0.102,1,0.015
EIF3M,0.32831173,0.088584707,0.341,0.3,1,-0.041
CORO1B,0.32848563,-0.365924988,0.258,0.267,1,0.009
WDR74,0.328635939,0.238936858,0.144,0.122,1,-0.022
PSMA7,0.329457092,-0.087098772,0.61,0.62,1,0.01
HNRNPH3,0.330611595,-0.229773782,0.265,0.281,1,0.016
ABRACL,0.330855398,0.02903822,0.333,0.282,1,-0.051
TGFBR1,0.331101858,-0.279108883,0.114,0.134,1,0.02
CIRBP,0.331205602,0.027808109,0.788,0.747,1,-0.041
FKBP4,0.332012777,0.001257414,0.121,0.097,1,-0.024
TNFRSF14,0.332126558,-0.160281211,0.447,0.444,1,-0.003
C11orf21,0.332836524,-0.365102869,0.178,0.194,1,0.016
MAP2K2,0.332868954,0.006267184,0.473,0.409,1,-0.064
ITFG2,0.333057968,0.1049868,0.167,0.139,1,-0.028
KDELR1,0.333429179,-0.277266917,0.277,0.286,1,0.009
RPS11,0.334119447,0.052793453,0.905,0.874,1,-0.031
PLGRKT,0.334256609,0.072408719,0.114,0.092,1,-0.022
SLC66A3,0.335220165,-0.342019256,0.163,0.182,1,0.019
SUCLA2,0.335477351,-0.034037846,0.106,0.085,1,-0.021
RPN2,0.335553334,0.077275158,0.458,0.392,1,-0.066
CCDC69,0.335603038,-0.414818744,0.201,0.215,1,0.014
PREX1,0.33566422,0.028083111,0.394,0.342,1,-0.052
SPAG7,0.335685432,-0.288149533,0.182,0.2,1,0.018
UFL1,0.335826072,-0.02583958,0.125,0.1,1,-0.025
LASP1,0.336337498,-0.28451442,0.167,0.184,1,0.017
ICE2,0.336690146,0.094487302,0.106,0.086,1,-0.02
BTN3A1,0.337991038,-0.308056356,0.216,0.233,1,0.017
GPATCH8,0.338115878,-0.0749393,0.216,0.179,1,-0.037
KHDRBS1,0.339642287,0.093063078,0.527,0.465,1,-0.062
SUZ12,0.33982037,0.012311937,0.242,0.206,1,-0.036
TMEM230,0.340386477,0.076846353,0.307,0.263,1,-0.044
POLR2L,0.3406813,-0.182536578,0.485,0.479,1,-0.006
RBM42,0.340756689,-0.270089831,0.159,0.18,1,0.021
RAB11A,0.341202695,-0.30670901,0.189,0.208,1,0.019
EIF2S1,0.34136051,0.257724668,0.125,0.105,1,-0.02
VPS4A,0.341751745,-0.291486747,0.17,0.187,1,0.017
OS9,0.342646931,-0.190490321,0.235,0.256,1,0.021
XRN2,0.342945907,0.023960473,0.345,0.294,1,-0.051
VAMP4,0.343381171,-0.334049979,0.087,0.105,1,0.018
IL32,0.34362974,0.056634044,0.989,0.987,1,-0.002
COX16,0.344439613,0.015034508,0.182,0.153,1,-0.029
SLC25A32,0.344483555,0.223500858,0.159,0.135,1,-0.024
AL139246.5,0.344640351,-0.367661627,0.106,0.124,1,0.018
LAP3,0.344969287,-0.502117132,0.091,0.107,1,0.016
CIAO2B,0.345899325,-0.185238787,0.307,0.311,1,0.004
ZDHHC20,0.345923004,0.021052958,0.114,0.092,1,-0.022
TMEM189,0.346011732,-0.218363642,0.083,0.101,1,0.018
PFDN4,0.346129026,-0.393784399,0.091,0.107,1,0.016
KLF6,0.346371667,-0.039859543,0.89,0.87,1,-0.02
ZNF394,0.346587497,-0.016437983,0.25,0.209,1,-0.041
SAMD9,0.34684293,0.247297629,0.178,0.154,1,-0.024
TIAL1,0.347008984,-0.355855228,0.265,0.271,1,0.006
PTPRA,0.347171494,-0.34489243,0.284,0.291,1,0.007
AC025159.1,0.347997163,0.152797343,0.11,0.09,1,-0.02
CENPX,0.348295325,0.099045622,0.193,0.165,1,-0.028
TSPAN32,0.348479215,-0.281802314,0.284,0.292,1,0.008
MYL6,0.348644349,-0.040174714,0.939,0.928,1,-0.011
PTRHD1,0.349546473,-0.31824883,0.197,0.212,1,0.015
TOPORS,0.349606098,0.168021606,0.114,0.094,1,-0.02
ECHDC1,0.349725708,0.074094646,0.125,0.103,1,-0.022
CHMP2A,0.349799405,0.100696712,0.201,0.169,1,-0.032
ALG5,0.35078113,-0.543624803,0.091,0.106,1,0.015
ELOB,0.351031596,0.073268334,0.765,0.709,1,-0.056
SMAD3,0.351369785,-0.446359019,0.095,0.112,1,0.017
TMED4,0.35144823,0.052343024,0.311,0.27,1,-0.041
SPNS1,0.351810478,-0.030998305,0.125,0.101,1,-0.024
MCMBP,0.351884753,0.007873884,0.114,0.092,1,-0.022
ARAF,0.351993478,-0.403758647,0.095,0.112,1,0.017
MTA2,0.352076946,-0.316358669,0.144,0.162,1,0.018
EIF3H,0.353138378,0.058746984,0.61,0.551,1,-0.059
COX5B,0.353152061,-0.158701861,0.561,0.519,1,-0.042
RPL27,0.353504067,0.040300185,0.981,0.97,1,-0.011
GTF3C6,0.353861252,-0.034366792,0.227,0.19,1,-0.037
C11orf58,0.354085145,-0.168788166,0.413,0.416,1,0.003
ZC3H15,0.354588121,-0.216215312,0.299,0.307,1,0.008
LARS,0.354744591,0.164494662,0.17,0.143,1,-0.027
ANAPC11,0.354760164,0.053732204,0.375,0.319,1,-0.056
VDAC3,0.355656873,-0.354158113,0.208,0.22,1,0.012
SSR1,0.355921214,0.076522294,0.239,0.204,1,-0.035
DARS,0.356652216,0.089690259,0.155,0.131,1,-0.024
ACIN1,0.358887559,-0.3814762,0.212,0.223,1,0.011
CRTC2,0.359037871,0.162733723,0.163,0.138,1,-0.025
SAMM50,0.359161494,0.231139445,0.129,0.108,1,-0.021
CDC37,0.360151021,0.069713779,0.614,0.551,1,-0.063
NCOA4,0.360747731,0.038904344,0.193,0.164,1,-0.029
TNFSF12,0.360979439,-0.29655724,0.303,0.305,1,0.002
RAF1,0.361034272,-0.471284182,0.106,0.122,1,0.016
VBP1,0.361531498,0.105146233,0.106,0.087,1,-0.019
DYNLT3,0.361897876,0.172984768,0.144,0.121,1,-0.023
FBXW11,0.362119602,-0.497526392,0.091,0.106,1,0.015
MRPL38,0.362356091,-0.006231632,0.186,0.158,1,-0.028
TENT2,0.363080684,-0.367416925,0.14,0.155,1,0.015
TAP1,0.363508518,-0.200576651,0.424,0.416,1,-0.008
LSM14A,0.363537823,-0.16980312,0.402,0.402,1,0
MSL1,0.363728633,0.084552754,0.148,0.125,1,-0.023
GFER,0.363758226,-0.542734391,0.095,0.109,1,0.014
SMIM10L1,0.364063978,-0.043953515,0.22,0.185,1,-0.035
CEP95,0.364093531,-0.460762907,0.095,0.109,1,0.014
RASGRP2,0.364261427,-0.044761833,0.375,0.32,1,-0.055
ZFAND2B,0.364588052,-0.303386066,0.178,0.193,1,0.015
DPM3,0.364667216,0.013040982,0.258,0.219,1,-0.039
COASY,0.364701967,0.197818296,0.114,0.094,1,-0.02
KIF5B,0.365804005,-0.32412297,0.277,0.281,1,0.004
DIAPH2,0.365988843,0.268505592,0.106,0.088,1,-0.018
RASA3,0.36603527,-0.278130924,0.303,0.312,1,0.009
TNIK,0.366488077,-0.232670009,0.178,0.196,1,0.018
RNASEH1,0.366514782,0.040738465,0.136,0.114,1,-0.022
ADIPOR1,0.366867652,-0.329466529,0.193,0.208,1,0.015
ZNF770,0.367052561,-0.074314359,0.11,0.09,1,-0.02
DNAJC19,0.367349138,-0.008631214,0.239,0.201,1,-0.038
ZNF106,0.367481408,0.018509598,0.178,0.151,1,-0.027
TAF11,0.368093852,0.041985054,0.133,0.11,1,-0.023
KLF12,0.36834722,-0.406585339,0.148,0.164,1,0.016
SEC11A,0.368396714,-0.367809406,0.311,0.305,1,-0.006
ZMYM5,0.368501163,-0.006790934,0.144,0.119,1,-0.025
FNDC3A,0.368878332,0.280157952,0.11,0.091,1,-0.019
ZDHHC24,0.369077845,0.074770857,0.129,0.106,1,-0.023
PSMD11,0.369216683,0.094321404,0.189,0.16,1,-0.029
NUCKS1,0.369950256,0.1075596,0.462,0.412,1,-0.05
TNF,0.370007844,-0.372675735,0.299,0.307,1,0.008
TAZ,0.370284651,-0.454166689,0.133,0.147,1,0.014
MPC2,0.370994112,-0.022404302,0.242,0.204,1,-0.038
UBQLN2,0.371066097,0.010297097,0.148,0.122,1,-0.026
RAP2B,0.372199121,-0.021535331,0.258,0.219,1,-0.039
MICU2,0.372401679,0.026528868,0.189,0.162,1,-0.027
TPGS2,0.372586508,0.011714522,0.155,0.131,1,-0.024
RAB1B,0.373262451,-0.231707514,0.364,0.365,1,0.001
CCDC82,0.373886021,-0.309143729,0.144,0.16,1,0.016
UBN1,0.37392088,0.014270758,0.223,0.189,1,-0.034
TINF2,0.374536851,-0.373967582,0.17,0.184,1,0.014
ATAD2B,0.374676727,-0.128836418,0.148,0.121,1,-0.027
JPT1,0.374709713,-0.402754454,0.182,0.192,1,0.01
TAF9,0.374849373,0.141541392,0.117,0.098,1,-0.019
EIF4A2,0.375101029,-0.159736775,0.508,0.501,1,-0.007
BSDC1,0.375136672,-0.434791482,0.106,0.122,1,0.016
H2AFJ,0.375520613,-0.382453825,0.117,0.135,1,0.018
SPPL3,0.375869061,0.171455694,0.11,0.092,1,-0.018
PPP4R3A,0.375970424,0.067425922,0.246,0.211,1,-0.035
NECAP2,0.376517033,0.02633063,0.186,0.158,1,-0.028
FAM199X,0.376614187,0.143158904,0.102,0.084,1,-0.018
PRR14,0.376700336,0.174986706,0.136,0.116,1,-0.02
ETS1,0.376889208,0.091123941,0.689,0.633,1,-0.056
DUSP11,0.377615453,0.238094953,0.121,0.101,1,-0.02
DYNC1H1,0.377892973,0.083826731,0.386,0.328,1,-0.058
CAPN1,0.37802608,-0.371782549,0.186,0.198,1,0.012
MRPL34,0.378217813,-0.045848147,0.254,0.213,1,-0.041
NME4,0.378808152,-0.409116658,0.129,0.144,1,0.015
RNF114,0.379673458,0.12933226,0.197,0.17,1,-0.027
SDCBP,0.380372219,-0.072442595,0.114,0.092,1,-0.022
NPRL2,0.380604644,-0.505864177,0.148,0.158,1,0.01
TNFAIP8,0.380815366,0.027934341,0.311,0.267,1,-0.044
RANBP9,0.381057126,-0.366219517,0.114,0.129,1,0.015
MRFAP1L1,0.381571869,-0.00297979,0.22,0.186,1,-0.034
UBE2D2,0.38215012,0.054641193,0.58,0.5,1,-0.08
LAX1,0.382246648,0.005700174,0.114,0.093,1,-0.021
RAB29,0.38245733,0.007940771,0.33,0.281,1,-0.049
ITK,0.382844895,-0.184477074,0.356,0.354,1,-0.002
ERH,0.382852063,-0.252452075,0.356,0.349,1,-0.007
FUT11,0.383109258,-0.418278595,0.178,0.189,1,0.011
HLA-DRB5,0.383525762,-0.34153772,0.098,0.114,1,0.016
TMEM9B,0.383836481,-0.353616747,0.212,0.221,1,0.009
CFAP298,0.384348607,-0.33140523,0.129,0.144,1,0.015
HIST1H1E,0.384458568,0.070110827,0.686,0.623,1,-0.063
MZT2B,0.384702965,0.083699308,0.686,0.615,1,-0.071
KPNB1,0.38516509,-0.271756827,0.348,0.345,1,-0.003
PFDN6,0.38548764,-0.011890204,0.117,0.097,1,-0.02
NKTR,0.386068828,0.129898349,0.345,0.296,1,-0.049
UBQLN1,0.386325599,-0.204657664,0.182,0.198,1,0.016
YPEL5,0.386770432,0.130245373,0.299,0.264,1,-0.035
MRPL9,0.386975574,-0.311931127,0.148,0.166,1,0.018
FYN,0.388135472,0.130676306,0.636,0.583,1,-0.053
SIDT1,0.388425653,0.077574637,0.117,0.098,1,-0.019
ROCK1,0.388615622,0.021987146,0.314,0.272,1,-0.042
DYM,0.388858824,-0.035010245,0.144,0.12,1,-0.024
RBBP7,0.389070616,-0.278543008,0.216,0.23,1,0.014
RNF220,0.38964942,-0.196772052,0.239,0.25,1,0.011
PARP4,0.389737577,-0.002973748,0.125,0.103,1,-0.022
COMMD2,0.389780654,-0.461523391,0.129,0.143,1,0.014
EIF1AX,0.390991704,0.028604072,0.189,0.162,1,-0.027
GLRX3,0.391593809,-0.42364694,0.102,0.117,1,0.015
DUSP22,0.391850153,-0.444957758,0.095,0.109,1,0.014
MATR3.1,0.39190241,-0.327249225,0.087,0.102,1,0.015
SDHA,0.392309988,0.070014166,0.322,0.282,1,-0.04
DNAJB9,0.392849204,0.079109003,0.106,0.088,1,-0.018
PPT1,0.392937056,0.250476086,0.144,0.124,1,-0.02
TTC17,0.39367107,-0.352161151,0.174,0.186,1,0.012
IFITM2,0.394147681,0.015812855,0.871,0.828,1,-0.043
ALKBH7,0.394328297,-0.327682623,0.269,0.277,1,0.008
TMX2,0.39436686,0.070196463,0.121,0.1,1,-0.021
TANK,0.395104318,-0.027425941,0.144,0.12,1,-0.024
ECH1,0.395395188,-0.266506415,0.337,0.327,1,-0.01
KDM4C,0.395580324,-0.393242273,0.17,0.183,1,0.013
BTN2A1,0.395604539,0.127846576,0.106,0.088,1,-0.018
SNAPC5,0.395864813,0.16104891,0.117,0.098,1,-0.019
EXOC7,0.396063767,0.109824642,0.136,0.116,1,-0.02
ACD,0.396235972,-0.31564436,0.125,0.141,1,0.016
SH3BP1,0.3963727,0.052642172,0.314,0.274,1,-0.04
SDE2,0.396483285,0.090889624,0.102,0.085,1,-0.017
CASP4,0.396718236,-0.273794999,0.265,0.273,1,0.008
UTRN,0.39687012,-0.219525268,0.379,0.374,1,-0.005
WWP1,0.397860718,0.253272762,0.102,0.085,1,-0.017
HERPUD2,0.398182227,0.035893815,0.375,0.323,1,-0.052
PLEKHA3,0.398265019,0.050637806,0.133,0.112,1,-0.021
RSRC2,0.398325119,-0.012322746,0.318,0.273,1,-0.045
RDH11,0.399182391,-0.131690551,0.133,0.108,1,-0.025
CCT5,0.399205227,-0.245582904,0.186,0.203,1,0.017
SAT2,0.399727239,-0.007022476,0.223,0.192,1,-0.031
TRA2A,0.399751925,0.092443225,0.189,0.165,1,-0.024
NIBAN1,0.400161795,-0.007041193,0.174,0.148,1,-0.026
PIP4P1,0.400362105,0.042827325,0.133,0.112,1,-0.021
MAP4,0.400511092,0.009503748,0.242,0.206,1,-0.036
RUNX3,0.400709814,-0.265277236,0.345,0.349,1,0.004
PSMB3,0.40120008,0.016731463,0.413,0.358,1,-0.055
MOB1A,0.401301178,-0.140607336,0.337,0.34,1,0.003
MCTS1,0.401648687,-0.008020379,0.14,0.119,1,-0.021
CCDC124,0.401842329,0.025430667,0.22,0.187,1,-0.033
TKT,0.402101481,-0.023153581,0.284,0.237,1,-0.047
RNF187,0.402536103,-0.263502436,0.242,0.254,1,0.012
DDHD1,0.402566774,-0.063676753,0.167,0.139,1,-0.028
NFATC2IP,0.402654247,0.100401331,0.189,0.165,1,-0.024
ULK3,0.402661077,-0.375876207,0.133,0.147,1,0.014
NUP50,0.402985556,-0.472768196,0.106,0.12,1,0.014
TRIM38,0.403051001,-0.367905165,0.106,0.121,1,0.015
GTF2B,0.403113778,-0.524483509,0.114,0.126,1,0.012
AKR7A2,0.403580478,-0.030221514,0.186,0.156,1,-0.03
PSMD13,0.403614494,-0.19989933,0.223,0.236,1,0.013
SSB,0.403886906,0.087860334,0.333,0.293,1,-0.04
CUL5,0.403964516,0.109140607,0.144,0.122,1,-0.022
FAM53B,0.40427578,-0.376190058,0.152,0.163,1,0.011
CYC1,0.405629612,-0.340987473,0.288,0.288,1,0
HSD17B11,0.407009857,0.029223758,0.239,0.207,1,-0.032
CPT1A,0.407602248,0.206223439,0.144,0.124,1,-0.02
NR4A2,0.40869849,-0.001012919,0.36,0.312,1,-0.048
HMGB2,0.408821918,-0.258414037,0.341,0.337,1,-0.004
STRAP,0.408826281,0.021666451,0.288,0.247,1,-0.041
ZC3H13,0.410254568,0.037869827,0.197,0.17,1,-0.027
SLC2A4RG,0.41040313,0.186920597,0.337,0.296,1,-0.041
KANSL1,0.410557254,0.043496763,0.261,0.23,1,-0.031
TRMT112,0.410836826,0.037505558,0.542,0.477,1,-0.065
TCEA1,0.411111247,0.1317754,0.489,0.439,1,-0.05
ILKAP,0.411676148,0.149157443,0.155,0.134,1,-0.021
EPS15,0.411853599,0.088867511,0.25,0.217,1,-0.033
NDUFS5,0.41220842,0.077618313,0.511,0.475,1,-0.036
PIGS,0.412626269,0.155244804,0.114,0.096,1,-0.018
GMCL1,0.41263024,-0.387985666,0.098,0.113,1,0.015
OLA1,0.412783527,0.139903479,0.205,0.182,1,-0.023
DNAJA1,0.413151609,0.018617738,0.356,0.317,1,-0.039
ZFAND2A,0.413460471,0.029873433,0.148,0.125,1,-0.023
QRICH1,0.414068025,-0.565934911,0.136,0.145,1,0.009
UCKL1,0.414293957,-0.214946863,0.114,0.129,1,0.015
GRN,0.415026743,-0.445261524,0.095,0.108,1,0.013
MOSPD3,0.416318762,-0.045342185,0.125,0.104,1,-0.021
TMF1,0.416374788,-0.216528772,0.205,0.215,1,0.01
CHCHD2,0.416649778,-0.11584382,0.814,0.777,1,-0.037
TSPAN2,0.417217767,0.155171417,0.11,0.093,1,-0.017
MRPL10,0.417428917,-0.305186878,0.269,0.273,1,0.004
EIF4B,0.417962249,0.012652829,0.689,0.587,1,-0.102
TOR1A,0.417988695,-0.398615311,0.095,0.108,1,0.013
SDF2,0.4181468,-0.203485209,0.121,0.138,1,0.017
MAP3K2,0.418317233,-0.260334093,0.155,0.171,1,0.016
BCL2L1,0.418431352,-0.290259103,0.114,0.13,1,0.016
CD2,0.418739881,-0.113502367,0.697,0.65,1,-0.047
RALY,0.419284418,-0.188112408,0.5,0.462,1,-0.038
SSNA1,0.419977865,-0.17640102,0.341,0.339,1,-0.002
SAT1,0.420187188,-0.239765682,0.47,0.461,1,-0.009
NPTN,0.420211426,-0.204478388,0.148,0.163,1,0.015
POLR2A,0.420524715,0.00550408,0.273,0.237,1,-0.036
VPS26A,0.42059794,-0.43988186,0.121,0.133,1,0.012
DNTTIP2,0.420632337,-0.28145603,0.216,0.229,1,0.013
PRRC2A,0.421194518,-0.3518581,0.205,0.212,1,0.007
COA3,0.42127863,-0.391505912,0.11,0.124,1,0.014
P2RY8,0.421918097,0.074580219,0.42,0.383,1,-0.037
MT-ND6,0.422052005,-0.028262939,0.606,0.547,1,-0.059
HNRNPA0,0.422116398,-0.135772847,0.545,0.52,1,-0.025
SELENOS,0.422136889,-0.187542502,0.197,0.211,1,0.014
PSME3,0.422218218,-0.417608979,0.125,0.138,1,0.013
CAMLG,0.422295899,-0.290708213,0.22,0.231,1,0.011
LSM10,0.422606588,-0.324509404,0.163,0.178,1,0.015
TMEM243,0.422866406,-0.074707015,0.235,0.198,1,-0.037
COMMD9,0.423015369,-0.360033349,0.11,0.124,1,0.014
MFSD1,0.42316308,-0.575026614,0.091,0.103,1,0.012
PCM1,0.423524656,-0.032360685,0.352,0.307,1,-0.045
PABPN1,0.423863048,-0.095685624,0.42,0.43,1,0.01
ILF3-DT,0.424551262,0.288985618,0.14,0.12,1,-0.02
GRPEL1,0.424700286,0.207601482,0.125,0.106,1,-0.019
SEPTIN6,0.424716487,0.093698465,0.473,0.425,1,-0.048
NDUFAF4,0.4247265,-0.434334287,0.087,0.101,1,0.014
PRCC,0.425353762,-0.454043763,0.091,0.104,1,0.013
ITFG1,0.425505406,0.020306181,0.117,0.098,1,-0.019
PSMD9,0.425684574,-0.273832812,0.239,0.241,1,0.002
UBE2R2,0.427294333,-0.200467833,0.193,0.211,1,0.018
DNAJB6,0.427600598,-0.265214061,0.288,0.288,1,0
OAT,0.428691686,-0.440002262,0.091,0.104,1,0.013
ADPGK,0.428716386,-0.255727144,0.098,0.113,1,0.015
UBE3C,0.429018274,0.053299705,0.125,0.105,1,-0.02
STT3A,0.42912736,0.185518327,0.125,0.105,1,-0.02
ISCA1,0.429457089,0.026620228,0.186,0.156,1,-0.03
TSC22D3,0.429559823,0.063894248,0.909,0.888,1,-0.021
VKORC1,0.429766431,-6.26E-06,0.186,0.16,1,-0.026
BID,0.430303031,0.102687033,0.106,0.088,1,-0.018
NUMA1,0.430991312,0.161854032,0.14,0.122,1,-0.018
ARHGAP1,0.431308151,-0.460531459,0.129,0.141,1,0.012
EPB41L4A-AS1,0.431417994,0.043281787,0.182,0.157,1,-0.025
DCTN3,0.431615134,-0.099790549,0.337,0.345,1,0.008
ERAP2,0.431889826,0.020088613,0.337,0.294,1,-0.043
UBE2F,0.431975501,-0.286353428,0.261,0.265,1,0.004
WDR45B,0.43236766,-0.136086494,0.114,0.094,1,-0.02
REX1BD,0.433535278,0.096329065,0.481,0.432,1,-0.049
CLIP4,0.434438682,-0.057136887,0.106,0.088,1,-0.018
SMIM14,0.434984691,0.001581518,0.117,0.098,1,-0.019
CD53,0.43538765,-0.146231738,0.61,0.589,1,-0.021
