Supplementary Data 2C. Differential gene expression in CD8A+ T cells at pre-treatment vs 12 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MRPL57,0.000446365,-0.169711404,0.261,0.32,1
GSTK1,0.000452164,-0.162989921,0.726,0.748,1
DYNLL1,0.000468036,0.306300654,0.511,0.398,1
AC005332.4,0.000469656,-0.121712341,0.109,0.145,1
RPL26,0.000493281,0.035711168,0.998,0.997,1
COX19,0.000502113,-0.174669422,0.121,0.166,1
FAM32A,0.000508405,-0.085733658,0.203,0.243,1
ATXN7L3B,0.000526888,-0.140365116,0.176,0.223,1
HMGN2,0.000528035,-0.126900978,0.628,0.646,1
GIMAP7,0.00054961,-0.083316539,0.641,0.683,1
OXLD1,0.000550264,-0.187302528,0.142,0.184,1
CKLF,0.000552412,-0.194803727,0.331,0.386,1
HLA-DRA,0.000561402,0.158694305,0.102,0.048,1
PRMT9,0.000563915,0.136216909,0.076,0.04,1
NDUFA11,0.000564081,-0.083725833,0.541,0.577,1
EIF3A,0.000566998,0.160713945,0.433,0.362,1
TSPYL2,0.000568117,0.201176,0.252,0.191,1
HSPA1B,0.000573892,0.14766734,0.086,0.047,1
BPGM,0.000579394,-0.093629899,0.081,0.106,1
ZNF683,0.00058089,-0.166998702,0.237,0.256,1
GOLGB1,0.000589617,0.142463439,0.215,0.155,1
STK17A,0.000621154,0.181871816,0.523,0.453,1
LINC002481,0.000639082,-0.122132928,0.079,0.107,1
LEF1,0.000648812,-0.25341847,0.074,0.137,1
AC245407.2,0.000649551,-0.150194924,0.162,0.192,1
ALYREF,0.00064964,-0.134358669,0.335,0.375,1
LINC01550,0.000650231,-0.151372787,0.043,0.082,1
MRPL33,0.000652028,-0.150681638,0.245,0.283,1
MCL1,0.000663291,0.227773314,0.553,0.489,1
KRT10,0.00069594,-0.108106095,0.544,0.562,1
PPP2R5C,0.000711589,0.123005979,0.724,0.698,1
JMJD6,0.000720654,0.197000014,0.15,0.093,1
NARF,0.000722721,0.187715289,0.247,0.182,1
CMKLR1,0.000723361,0.132217722,0.112,0.061,1
PDE4D,0.000731995,-0.193284802,0.134,0.192,1
LINC00476,0.000747541,-0.113962904,0.046,0.071,1
AC020911.2,0.000753209,0.099603434,0.051,0.023,1
BEX4,0.000761085,-0.043751353,0.039,0.063,1
SNHG29,0.000767192,-0.020133048,0.757,0.782,1
PLCB1,0.000774342,-0.161018285,0.109,0.162,1
ATP5MD,0.000778905,-0.121031641,0.528,0.55,1
RGS2,0.00079583,0.112594233,0.106,0.06,1
SDR39U1,0.000796813,-0.159504983,0.248,0.289,1
SAFB2,0.000798114,0.185656912,0.251,0.182,1
DUSP6,0.000809488,0.136103175,0.057,0.023,1
PLEKHF1,0.000809962,-0.11846383,0.222,0.248,1
CDK17,0.000811523,0.160106712,0.314,0.235,1
ZYX,0.000814233,-0.031737809,0.518,0.533,1
PABPC1,0.000818173,0.029331106,0.914,0.915,1
PYURF,0.000840665,-0.126438441,0.382,0.391,1
CLIC1,0.000841211,-0.017430337,0.825,0.821,1
SREBF2,0.000841897,0.096561227,0.119,0.073,1
SMCHD1,0.000852118,0.188337043,0.543,0.468,1
POR,0.000852287,0.155030275,0.118,0.066,1
PAN3,0.00086326,-0.176788254,0.065,0.102,1
RPL15,0.000889342,-0.030663428,0.971,0.984,1
ZBTB38,0.000893352,0.200425066,0.42,0.348,1
CD82,0.000910101,-0.216379174,0.042,0.085,1
