Supplementary Data 9. Gene expression in each cluster within cells expressing CD4,,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
TNFAIP8,2.80806321868292e-07,0.326045391,0.502,0.454,0.004717827,1,TNFAIP8
SMARCA2,2.86628942003736e-07,0.335962206,0.358,0.294,0.004815653,1,SMARCA2
KLF3,2.92354075886168e-07,0.397694263,0.487,0.403,0.004911841,1,KLF3
PDE7A,3.0526934274639e-07,0.397137481,0.374,0.3,0.00512883,1,PDE7A
HSPD1,4.12465546935372e-07,0.298324373,0.417,0.376,0.006929834,1,HSPD1
OGT,5.76097661745426e-07,0.422138682,0.364,0.293,0.009679017,1,OGT
NUCB2,6.66442782345165e-07,0.311556049,0.304,0.23,0.011196905,1,NUCB2
TRIM22,7.0946075991423e-07,0.324135637,0.427,0.369,0.01191965,1,TRIM22
STK38,7.78956758784101e-07,0.401824735,0.389,0.316,0.013087253,1,STK38
NORAD,1.02734249399427e-06,0.345962479,0.298,0.242,0.017260381,1,NORAD
NUMA1,1.10719774989741e-06,0.279192964,0.275,0.209,0.018602029,1,NUMA1
EBLN3P,1.3036589124872e-06,0.412534954,0.302,0.236,0.021902773,1,EBLN3P
RASA2,1.38662722378961e-06,0.380096112,0.259,0.217,0.023296724,1,RASA2
SSH2,1.76658537738475e-06,0.398750905,0.325,0.247,0.029680401,1,SSH2
HNRNPA2B1,1.87972456264926e-06,0.30328059,0.883,0.864,0.031581252,1,HNRNPA2B1
CHMP7,1.97477058374854e-06,0.266168524,0.25,0.204,0.033178121,1,CHMP7
LONP2,2.15239109325228e-06,0.334110648,0.296,0.233,0.036162323,1,LONP2
USP3,2.62692630614493e-06,0.303312248,0.299,0.286,0.044134989,1,USP3
SCML4,2.63689215535182e-06,0.360857725,0.286,0.228,0.044302425,1,SCML4
KLF9,2.7693455504705e-06,0.33183813,0.301,0.243,0.046527775,1,KLF9
DDX17,2.95484556629105e-06,0.383549975,0.595,0.532,0.04964436,1,DDX17
CD71,1.12310729961076e-23,0.633170474,0.822,0.592,1.88693257407603e-19,2,CD7
CCR71,3.745625179412e-12,0.514063581,0.633,0.374,6.2930248639301e-08,2,CCR7
EEF1D,9.32521598692046e-11,0.311404601,0.977,0.956,1.56672953796251e-06,2,EEF1D
RPS5,4.32980841423751e-10,0.560292018,0.98,0.954,7.27451111676045e-06,2,RPS5
EEF1G,7.23204613139466e-10,0.461045966,0.971,0.927,1.21505607053562e-05,2,EEF1G
RGS10,1.46856700417262e-09,0.405422902,0.678,0.495,2.46733942371042e-05,2,RGS10
SELENOH,6.05330558614814e-09,0.296839573,0.596,0.484,0.000101702,2,SELENOH
TCF71,2.38117089792683e-08,0.343397196,0.836,0.704,0.000400061,2,TCF7
EEF1B2,2.81044209123104e-08,0.586662509,0.961,0.919,0.000472182,2,EEF1B2
NUCB21,3.30941138925127e-08,0.329511568,0.377,0.222,0.000556014,2,NUCB2
RPLP1,6.29967243396015e-08,0.268146386,0.982,0.989,0.001058408,2,RPLP1
NOP53,6.5243813360398e-08,0.289607919,0.879,0.824,0.001096161,2,NOP53
RPS27,7.35612747576629e-08,0.329399515,0.994,0.987,0.001235903,2,RPS27
PABPC1,1.00127504738946e-07,0.270581583,0.969,0.936,0.001682242,2,PABPC1
LDLRAP1,2.23880078707982e-07,0.315040101,0.449,0.348,0.003761409,2,LDLRAP1
EIF3E,2.55765653524936e-07,0.414219802,0.758,0.645,0.004297119,2,EIF3E
RPS21,4.28900975063856e-07,0.300830088,0.977,0.963,0.007205965,2,RPS21
RPS6,7.26421625134009e-07,0.340526125,0.969,0.974,0.01220461,2,RPS6
RPS13,8.92443625868257e-07,0.550347734,0.984,0.959,0.014993945,2,RPS13
ACTN11,2.24110774748243e-06,0.420743439,0.32,0.17,0.037652851,2,ACTN1
NOSIP,2.89795778020623e-06,0.328732774,0.826,0.672,0.048688589,2,NOSIP
FOS,9.97642118797649e-157,1.468495871,0.994,0.799,1.67613852379193e-152,3,FOS
JUNB,2.13777294463403e-153,1.382824728,0.99,0.885,3.59167232427964e-149,3,JUNB
FOSB,1.51963788144418e-115,1.458902607,0.798,0.302,2.55314360461438e-111,3,FOSB
NR4A2,1.78006289384797e-89,1.354445714,0.68,0.25,2.99068366795397e-85,3,NR4A2
JUN,1.93313609143511e-88,1.203876576,0.955,0.745,3.24786194722012e-84,3,JUN
CD69,9.39699794657416e-76,1.000951466,0.893,0.655,1.57878962500392e-71,3,CD69
DUSP1,5.28769761746338e-71,0.804367019,0.971,0.81,8.88386076710022e-67,3,DUSP1
NR4A1,1.61863191419317e-60,0.899359133,0.363,0.067,2.71946347903594e-56,3,NR4A1
IER2,8.57254505673401e-58,0.95495337,0.831,0.586,1.44027329498188e-53,3,IER2
BTG2,1.82574714302546e-57,0.898533789,0.814,0.526,3.06743777499707e-53,3,BTG2
EGR1,4.87565625379091e-55,1.157437484,0.369,0.078,8.1915900719941e-51,3,EGR1
PPP1R15A,2.08111666567598e-52,0.816020099,0.845,0.555,3.49648411000222e-48,3,PPP1R15A
SLC2A3,6.9685538319642e-48,0.903726282,0.701,0.428,1.17078672930831e-43,3,SLC2A3
ZFP36,2.73985396355728e-46,0.848452551,0.86,0.653,4.60322864417258e-42,3,ZFP36
DUSP2,3.37427174646533e-44,0.972502655,0.59,0.296,5.6691139612364e-40,3,DUSP2
DNAJB1,1.03611800627069e-41,0.703569476,0.847,0.661,1.74078186233538e-37,3,DNAJB1
SERTAD1,9.35059947362971e-41,0.776586051,0.359,0.101,1.57099421756453e-36,3,SERTAD1
CXCR4,3.88429126187413e-40,0.743175338,0.837,0.608,6.52599774907473e-36,3,CXCR4
NFKBIA,4.12499833820977e-37,0.832450784,0.833,0.593,6.93040970802623e-33,3,NFKBIA
GADD45B,9.81319258309767e-33,0.854718065,0.623,0.366,1.64871448588624e-28,3,GADD45B
AC007952.4,4.88598673062549e-30,0.763606466,0.348,0.118,8.20894630612389e-26,3,AC007952.4
AL499604.1,8.0539747200919e-29,0.616202573,0.359,0.122,1.35314829272264e-24,3,AL499604.1
TNFAIP3,4.60052232217649e-27,0.652015239,0.821,0.623,7.72933755348872e-23,3,TNFAIP3
EIF1,1.02545811997146e-24,0.284300642,0.986,0.986,1.72287218736405e-20,3,EIF1
JUND,5.65431887467614e-24,0.447711536,0.913,0.854,9.49982114134338e-20,3,JUND
TSPYL2,1.35018450401222e-22,0.678296424,0.46,0.235,2.26844498519094e-18,3,TSPYL2
YPEL5,3.50030555889618e-22,0.564243965,0.532,0.313,5.88086336950147e-18,3,YPEL5
