Supplementary Data 2A. Differential gene expression in CD8A+ T cells at pre-treatment vs 4 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NPRL2,0.00086481,-0.259886111,0.147,0.21,1
THEMIS,0.000898973,-0.24810882,0.342,0.412,1
FKBP5,0.000913125,0.21271684,0.195,0.129,1
SLC4A1AP,0.000914798,-0.080620693,0.083,0.133,1
ANAPC2,0.00093911,-0.206104578,0.049,0.097,1
ARL14EP,0.000968312,-0.173075232,0.101,0.161,1
MT-ND4L,0.000978645,-0.139747502,0.92,0.95,1
PDE6B,0.0009935,-0.166642405,0.034,0.076,1
EIF3M,0.000996348,-0.214715007,0.311,0.388,1
SNHG17,0.001005754,-0.196804435,0.145,0.179,1
PDE4D,0.001013107,-0.008354195,0.151,0.192,1
BRK1,0.001028212,-0.23081539,0.43,0.517,1
RPS25,0.001039617,-0.027812633,0.982,0.996,1
MAVS,0.001059319,-0.174785593,0.029,0.07,1
HSD17B11,0.00110334,-0.150917302,0.212,0.285,1
TMBIM4,0.001108921,-0.188736968,0.305,0.399,1
RASSF1,0.00120612,-0.092960188,0.472,0.561,1
MRPS31,0.001251399,-0.205276232,0.098,0.156,1
IER5L,0.001253604,0.213998842,0.081,0.039,1
AC007952.4,0.001277517,0.200029725,0.168,0.107,1
SGSH,0.001281727,-0.15950625,0.073,0.127,1
RCN2,0.001313156,-0.15225769,0.176,0.245,1
PRR12,0.001327382,-0.158536319,0.05,0.098,1
SLFN5,0.001359905,-0.205871938,0.295,0.384,1
NDUFC1,0.001372555,-0.203801777,0.187,0.265,1
TPM3,0.001417606,0.139200241,0.868,0.849,1
SNRPA1,0.001440691,-0.085965,0.199,0.276,1
GRK6,0.00147678,-0.222086363,0.282,0.354,1
TRMT112,0.001496464,-0.211189409,0.498,0.574,1
AMZ2,0.00155597,-0.214496113,0.156,0.206,1
RPS29,0.00160053,-0.101766947,0.925,0.949,1
SLAMF7,0.001609182,-0.182792869,0.184,0.263,1
SRP9,0.001631752,-0.193745148,0.345,0.435,1
TNFRSF1A,0.001635757,-0.202168878,0.153,0.203,1
CHD9,0.001635854,-0.205130176,0.117,0.175,1
FGD3,0.001645746,-0.231063836,0.22,0.274,1
MVB12B,0.001693182,0.105946958,0.122,0.075,1
NR4A2,0.00170025,0.179296555,0.362,0.28,1
MSN,0.001749513,0.09589865,0.699,0.698,1
CHMP2B,0.001824046,-0.194598006,0.091,0.145,1
MARCKSL1,0.001853199,0.235017925,0.197,0.151,1
APBB1IP,0.001886032,-0.149559978,0.526,0.619,1
PSMA1,0.001905374,-0.197062147,0.326,0.367,1
CHMP1B,0.001937881,0.230843269,0.178,0.123,1
CXCR3,0.001968173,-0.19476994,0.057,0.101,1
MAGED2,0.001971355,-0.217825549,0.142,0.201,1
EVI2A,0.002011151,-0.177292338,0.08,0.132,1
AL139246.5,0.002019115,0.196190499,0.176,0.119,1
LPP,0.002057648,0.186266554,0.173,0.128,1
PRPF4B,0.00205853,0.148882369,0.469,0.452,1
OST4,0.00206011,-0.140506252,0.749,0.802,1
RPS15A,0.002100768,0.106743898,0.998,1,1
POLM,0.002120095,-0.157647931,0.06,0.109,1
CD47,0.002165149,-0.274641274,0.428,0.509,1
TRPM7,0.002167921,-0.217306403,0.143,0.185,1
SLAMF1,0.002198849,-0.129629733,0.026,0.055,1
AC020911.2,0.002230935,0.113745003,0.054,0.023,1
NEAT1,0.002237244,0.198182595,0.456,0.41,1
RAN,0.002290653,-0.207068011,0.534,0.615,1
NBAS,0.002343214,-0.191216236,0.057,0.106,1
WTAP,0.002353353,-0.139609229,0.331,0.412,1
RORA,0.00240063,-0.224369129,0.44,0.531,1
ITM2A,0.002405752,-0.20163208,0.08,0.128,1
PIAS4,0.002422238,-0.101846218,0.036,0.073,1
GOLT1B,0.002565638,0.080098236,0.094,0.092,1
SNX1,0.002570462,-0.204088086,0.119,0.184,1
IMP3,0.002670049,-0.21766442,0.301,0.376,1
TMEM123,0.002700881,-0.125321165,0.277,0.347,1
ARL8A,0.002704031,-0.165224597,0.169,0.237,1
TMEM43,0.002722668,-0.170659847,0.109,0.171,1
RUNX3,0.002731401,0.197852892,0.366,0.295,1
THAP7,0.002792357,-0.115385037,0.096,0.147,1
DNAJC17,0.002800251,-0.160798518,0.044,0.086,1
MLLT3,0.002854475,-0.16003315,0.059,0.105,1
DECR1,0.002860169,-0.206302311,0.181,0.237,1
RBL2,0.002884968,-0.217834781,0.489,0.577,1
MEPCE,0.002951248,0.107950202,0.064,0.029,1
H3F3B,0.002979663,0.131685395,0.974,0.973,1
DBNDD2,0.003001708,-0.172578784,0.046,0.086,1
BRD9,0.003032212,-0.139551377,0.078,0.127,1
MARCH6,0.003071377,-0.110477814,0.132,0.189,1
SAMSN1,0.00313683,-0.152801607,0.036,0.073,1
THEMIS2,0.003138139,-0.157836538,0.081,0.138,1
DAZAP2,0.003185897,-0.173011463,0.756,0.805,1
DNAJA2,0.003190717,-0.183703458,0.192,0.268,1
PTPN6,0.003198625,-0.240141974,0.27,0.352,1
NAXE,0.003256239,0.181134638,0.308,0.238,1
ZNF808,0.003331535,-0.119867597,0.067,0.114,1
TCF3,0.003356741,0.129600375,0.137,0.088,1
SH3BGRL3,0.003414167,0.025400692,0.977,0.992,1
NOP10,0.003459507,-0.222243435,0.238,0.306,1
ANXA7,0.003470965,-0.201046037,0.189,0.257,1
LINC-PINT,0.003485475,0.193445117,0.094,0.051,1
ZFP36,0.003550033,-0.024867917,0.627,0.7,1
APOBEC3G,0.003564444,-0.23662849,0.368,0.451,1
ORC4,0.003598684,-0.135365532,0.046,0.086,1
SPPL2B,0.003624489,-0.137845599,0.028,0.062,1
TMA7,0.003813806,-0.132353183,0.862,0.902,1
COX7C,0.003848315,-0.120671146,0.811,0.837,1
AP2M1,0.003903399,-0.207320013,0.349,0.419,1
DMTF1,0.004075037,-0.168360055,0.094,0.148,1
AKR7A2,0.004079249,-0.115037367,0.147,0.2,1
CAPZA1,0.004080675,-0.217354081,0.28,0.355,1
HSP90AA1,0.004081648,0.139097555,0.806,0.818,1
DDX39B,0.0041226,-0.240952704,0.316,0.393,1
SREBF2,0.004158137,0.140653726,0.117,0.073,1
PHYKPL,0.00424387,-0.184399074,0.21,0.283,1
AMFR,0.004272793,-0.163472697,0.081,0.135,1
UBR2,0.004275554,-0.035963278,0.164,0.214,1
ALKBH6,0.004368971,-0.20081415,0.104,0.153,1
NUP160,0.004387399,-0.006272271,0.054,0.07,1
SLC46A3,0.004388356,-0.142233581,0.052,0.096,1
PECAM1,0.004389126,-0.1436246,0.029,0.064,1
NPC1,0.004392954,0.186864891,0.15,0.105,1
KATNA1,0.004418728,-0.136955735,0.054,0.101,1
TMED9,0.004419996,0.013163227,0.423,0.471,1
PTGDR,0.004431187,-0.266624084,0.292,0.371,1
RGS2,0.004544417,0.160515182,0.103,0.06,1
PIK3R2,0.004630736,0.105460853,0.06,0.06,1
ARID5B,0.004756568,0.198624207,0.248,0.182,1
ORMDL2,0.004756623,-0.176552878,0.081,0.128,1
DRAM2,0.004784286,-0.138855792,0.077,0.125,1
CLECL1,0.00479333,-0.130191939,0.024,0.054,1
ISCU,0.004843678,-0.184464317,0.401,0.48,1
RNGTT,0.004858804,-0.15934163,0.059,0.1,1
PTMS,0.004869947,0.194766723,0.176,0.127,1
ATP5F1B,0.004881854,-0.185501139,0.577,0.614,1
HIST1H1E,0.004902178,0.23949301,0.632,0.621,1
MAX,0.004924738,-0.190334898,0.27,0.347,1
SPCS1,0.004960215,-0.181362559,0.507,0.58,1
DDAH2,0.004982287,-0.112810566,0.065,0.079,1
ZMAT5,0.005072082,-0.156775522,0.08,0.112,1
PRDX1,0.005093331,-0.20707402,0.308,0.364,1
SLU7,0.005185115,0.19580748,0.189,0.135,1
CRELD2,0.005266447,0.207121581,0.207,0.151,1
BCCIP,0.005286965,-0.152341294,0.13,0.19,1
YIF1B,0.00529561,0.001032108,0.094,0.127,1
HLA-DPA1,0.005320519,0.120885862,0.611,0.589,1
HLA-A,0.005390051,0.022345642,0.985,0.997,1
MRPL3,0.005417428,-0.168735535,0.101,0.155,1
