Supplementary Data 2D. Differential gene expression in CD8A+ T cells at 12  vs 24 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TMEM219,4.03055556511498e-38,0.089990259,0.26,0.344,6.77173640494967e-34
YPEL3,4.11253874529123e-38,-0.361870024,0.491,0.746,6.90947634596379e-34
NAPA,4.45018995275263e-38,-0.070973813,0.247,0.387,7.47676413961969e-34
SSBP1,4.92586634347384e-38,-0.310252584,0.206,0.413,8.2759480436704e-34
YIPF3,5.34881028611305e-38,-0.115070889,0.118,0.222,8.98653616169854e-34
UBE2E3,5.41823654419087e-38,-0.010556444,0.182,0.274,9.10317921789507e-34
G3BP2,5.75900922407808e-38,-0.217818342,0.218,0.396,9.67571139737358e-34
ATP6V1G1,6.0229575654121e-38,-0.224904372,0.397,0.625,1.01191710056489e-33
MDH2,6.46251485950565e-38,0.006348869,0.314,0.435,1.08576712154554e-33
ANKRD13D,6.48655608114402e-38,-0.262678932,0.138,0.301,1.08980628719301e-33
POLR2C,6.56973009917732e-38,-0.162291139,0.116,0.238,1.10378035396278e-33
CDC42EP3,6.77652170906184e-38,-0.032166879,0.272,0.41,1.13852341233948e-33
NUBP2,6.80394369595012e-38,0.002230007,0.143,0.223,1.14313058035658e-33
SRPRA,6.8703511804664e-38,-0.168913444,0.223,0.394,1.15428770183016e-33
PREX1,6.93026730765283e-38,-0.024458957,0.263,0.398,1.16435421035875e-33
DPP7,7.39150161527435e-38,-0.175424525,0.321,0.514,1.24184618638224e-33
VSIR,7.48400234022148e-38,0.022102808,0.32,0.445,1.25738723318061e-33
SNRPB,8.00911492920824e-38,-0.022828921,0.335,0.468,1.34561139925628e-33
PTBP3,8.30830817789618e-38,0.061451335,0.259,0.355,1.39587885696834e-33
RNF220,8.51930648355331e-38,-0.054584823,0.179,0.301,1.43132868230179e-33
GNAS,9.78320320431458e-38,-0.442038721,0.549,0.806,1.64367597035689e-33
PPP2R1A,9.96697478209545e-38,-0.061054863,0.244,0.387,1.67455143313986e-33
RHOF,1.04176869698675e-37,-0.163797225,0.301,0.483,1.75027558780744e-33
COMMD7,1.0519949396598e-37,-0.083486131,0.185,0.307,1.76745669812243e-33
TOMM5,1.06546946637245e-37,0.101105591,0.262,0.339,1.79009525045236e-33
TMEM258,1.09474406732844e-37,0.206884614,0.452,0.525,1.83927950751851e-33
NENF,1.20046986218475e-37,0.055613195,0.186,0.266,2.01690941545659e-33
MRPL10,1.27515653126774e-37,-0.08797064,0.2,0.331,2.14239048818293e-33
AKT1,1.3480382041547e-37,-0.384364054,0.108,0.301,2.26483898680031e-33
KIF5B,1.44871133496649e-37,-0.059157612,0.218,0.348,2.43397991387721e-33
SELENOF,1.49377828491823e-37,-0.035631252,0.282,0.416,2.50969689649111e-33
CD3G,1.73172713519914e-37,0.124095815,0.758,0.833,2.90947475984808e-33
UFM1,1.7475677743303e-37,-0.024256854,0.17,0.264,2.93608861765233e-33
CISD3,1.77755239710586e-37,0.164421041,0.216,0.261,2.98646578237755e-33
NHP2,1.85482525685372e-37,0.098451735,0.204,0.266,3.11629191403993e-33
CCT2,1.97753585310113e-37,-0.25885647,0.146,0.312,3.3224579867952e-33
SNU13,2.12294092372006e-37,-0.228911813,0.268,0.459,3.56675304594208e-33
EIF3D,2.29297679884895e-37,0.004758299,0.307,0.437,3.85243031974613e-33
OCIAD1,2.32188695126579e-37,-0.118648665,0.198,0.342,3.90100226682166e-33
UBE2A,2.53538844617839e-37,-0.202591845,0.115,0.252,4.2597061284243e-33
RPL7,2.79994823159019e-37,-0.215113163,0.695,0.864,4.70419302389468e-33
MFSD10,2.89876794629983e-37,-0.127818488,0.269,0.442,4.87022002657834e-33
PKN1,3.01632028215163e-37,-0.490553402,0.227,0.509,5.06771970604295e-33
UBE2B,3.09904522279485e-37,-0.090141127,0.253,0.398,5.20670587881762e-33
IDH2,3.29935436464463e-37,-0.118009882,0.292,0.464,5.54324526803944e-33
STK17B,3.43364235439049e-37,0.180259968,0.398,0.47,5.76886251961145e-33
SPCS2,3.45802615303612e-37,0.011620707,0.3,0.417,5.80982973971598e-33
EMB,3.93159361702162e-37,0.088445697,0.277,0.367,6.60547043595802e-33
TMEM35B,4.57564888235905e-37,0.043969937,0.182,0.25,7.68754768725143e-33
BUB3,4.80655877647838e-37,-0.372392481,0.203,0.422,8.07549940036133e-33
CCT4,4.8354786051473e-37,-0.157337432,0.237,0.41,8.12408760450798e-33
TIAL1,5.28793132962726e-37,-0.282123539,0.177,0.359,8.88425342690676e-33
OXA1L,5.57976936944627e-37,0.055986026,0.211,0.285,9.37457051760668e-33
MLF2,5.60243251894206e-37,-0.132021661,0.214,0.361,9.41264687507455e-33
POLR2L,6.26893357423759e-37,0.270854435,0.461,0.497,1.05324352980766e-32
XRN2,6.85697519085623e-37,-0.190285508,0.213,0.377,1.15204040181576e-32
OSTM1,6.86247471272914e-37,-0.05146299,0.103,0.179,1.15296437648562e-32
MORF4L1,7.0653025278283e-37,-0.233894382,0.362,0.58,1.18704147770043e-32
SF3B4,7.40694222619068e-37,-0.235628332,0.152,0.318,1.2444403634223e-32
NDUFA1,8.55081436781867e-37,0.245847154,0.492,0.543,1.43662232193721e-32
NDUFA2,9.16218457649439e-37,-0.002871017,0.256,0.369,1.53933863069682e-32
RAB8A,9.1945638922683e-37,-0.245802456,0.147,0.308,1.54477867954e-32
PLSCR3,9.8879873448881e-37,-0.067819125,0.199,0.32,1.66128075381465e-32
URM1,9.89882066495131e-37,0.006085847,0.128,0.199,1.66310085991847e-32
GDI2,9.98349846850152e-37,-0.123491841,0.266,0.426,1.67732757769294e-32
S1PR4,1.03683062440495e-36,-0.167538322,0.248,0.419,1.74197913206276e-32
UQCRQ,1.13387201387467e-36,0.148130876,0.347,0.416,1.90501837051083e-32
TPT1,1.19269856522277e-36,0.525870908,0.998,0.995,2.00385285943077e-32
P2RY8,1.34245115973173e-36,-0.299763352,0.256,0.471,2.25545219346528e-32
EIF3M,1.3480359073528e-36,-0.199080883,0.221,0.393,2.26483512794343e-32
SNX6,1.48397962110527e-36,-0.33080347,0.24,0.463,2.49323416141897e-32
SMAP2,1.55653084626749e-36,-0.176298016,0.214,0.382,2.61512747481401e-32
CTDSP1,1.7405141733478e-36,-0.255380501,0.247,0.452,2.92423786264164e-32
C4orf3,1.77950649492248e-36,-0.157429192,0.291,0.459,2.98974886211925e-32
COPS5,1.84792283306713e-36,-0.084719964,0.14,0.247,3.10469515183608e-32
WBP2,1.92892268328877e-36,-0.224297505,0.175,0.335,3.24078300019346e-32
PPP4R2,1.95359006641532e-36,-0.168562381,0.145,0.287,3.28222667058437e-32
PSMD8,2.02249552510158e-36,-0.094258244,0.273,0.428,3.39799473172317e-32
ATP5F1C,2.07305204103016e-36,-0.267429009,0.198,0.396,3.48293473413477e-32
RAB5C,2.07640648119132e-36,-0.165282354,0.281,0.461,3.48857052904953e-32
PPP1R12A,2.26884228750349e-36,-0.114149584,0.274,0.439,3.81188192723461e-32
MEAF6,2.5354576455042e-36,-0.268921978,0.203,0.397,4.2598223902116e-32
C1D,2.77106173344979e-36,-0.082528343,0.085,0.171,4.655660818369e-32
NDUFS8,3.18174912584931e-36,0.019845485,0.256,0.36,5.34565670633943e-32
PTPRCAP,3.19535885445726e-36,0.383806126,0.295,0.266,5.36852241137364e-32
INTS6,3.37350611322698e-36,-0.515901508,0.121,0.345,5.66782762083266e-32
FNBP4,3.48436807626907e-36,-0.155314598,0.253,0.418,5.85408680493967e-32
PPP1R7,3.50742286523213e-36,-0.022887474,0.156,0.246,5.8928211558765e-32
CCDC107,3.55782416727455e-36,-0.062106465,0.287,0.431,5.97750038343798e-32
